model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,20,209,0.09569377990430622
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,4,76,0.05263157894736842
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,10,201,0.04975124378109453
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,4,57,0.07017543859649122
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,10,178,0.056179775280898875
Qwen3.5-0.8B,BF16/FP16,Direct,Math,30,866,0.03464203233256351
Qwen3.5-0.8B,BF16/FP16,Direct,Other,7,141,0.04964539007092199
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,10,176,0.056818181818181816
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Biology/Medicine,21,209,0.10047846889952153
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Chemistry,6,76,0.07894736842105263
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Computer Science/AI,11,201,0.05472636815920398
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Engineering,6,57,0.10526315789473684
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Humanities/Social Science,14,178,0.07865168539325842
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Math,43,866,0.049653579676674366
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Other,8,141,0.05673758865248227
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Physics,11,176,0.0625
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,26,209,0.12440191387559808
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,3,76,0.039473684210526314
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,11,201,0.05472636815920398
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,4,57,0.07017543859649122
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,11,178,0.06179775280898876
Qwen3.5-0.8B,BF16/FP16,Tool,Math,36,866,0.04157043879907621
Qwen3.5-0.8B,BF16/FP16,Tool,Other,7,141,0.04964539007092199
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,12,176,0.06818181818181818
